,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
2213,s846,TV Show,Disney's Hercules: The Animated Series,,"Tate Donovan, Sandra Bernhard, Robert Costanzo, Matt Frewer, Bobcat Goldthwait, French Stewart",United States,"November 12, 2019",1998,TV-Y7,1 Season,Comedy,Follow Herc's many labors during the years he spent training on how to be a hero.
2214,s847,TV Show,Disney's Kim Possible,,"Christy Romano, Will Friedle, Nancy Cartwright, Tahj Mowry","United States, Philippines, South Korea","November 12, 2019",2001,TV-G,4 Seasons,Action-Adventure,"Kim Possible is a high school girl who, in her spare time, saves the world from evil villains."
2215,s847,TV Show,Disney's Kim Possible,,"Christy Romano, Will Friedle, Nancy Cartwright, Tahj Mowry","United States, Philippines, South Korea","November 12, 2019",2001,TV-G,4 Seasons,Animation,"Kim Possible is a high school girl who, in her spare time, saves the world from evil villains."
2216,s847,TV Show,Disney's Kim Possible,,"Christy Romano, Will Friedle, Nancy Cartwright, Tahj Mowry","United States, Philippines, South Korea","November 12, 2019",2001,TV-G,4 Seasons,Comedy,"Kim Possible is a high school girl who, in her spare time, saves the world from evil villains."
2217,s848,TV Show,Disney's Little Einsteins,,"Erica Huang, Aiden Pompey, Jesse Schwartz, Natalia Wojcik",United States,"November 12, 2019",2005,TV-Y,2 Seasons,Action-Adventure,This innovative new series provides preschoolers with new ways to hear and see music and art.
2218,s848,TV Show,Disney's Little Einsteins,,"Erica Huang, Aiden Pompey, Jesse Schwartz, Natalia Wojcik",United States,"November 12, 2019",2005,TV-Y,2 Seasons,Animation,This innovative new series provides preschoolers with new ways to hear and see music and art.
2219,s848,TV Show,Disney's Little Einsteins,,"Erica Huang, Aiden Pompey, Jesse Schwartz, Natalia Wojcik",United States,"November 12, 2019",2005,TV-Y,2 Seasons,Kids,This innovative new series provides preschoolers with new ways to hear and see music and art.
2220,s849,TV Show,Disney's Mighty Ducks,,"James Belushi, Brad Garrett, Jeff Bennett, Jennifer Hale, Clancy Brown, Tony Jay",United States,"November 12, 2019",1996,TV-Y7,1 Season,Action-Adventure,Hockey-loving alien ducks are stranded on Earth and must protect it from the evil Dragaunus.
2221,s849,TV Show,Disney's Mighty Ducks,,"James Belushi, Brad Garrett, Jeff Bennett, Jennifer Hale, Clancy Brown, Tony Jay",United States,"November 12, 2019",1996,TV-Y7,1 Season,Animation,Hockey-loving alien ducks are stranded on Earth and must protect it from the evil Dragaunus.
2222,s849,TV Show,Disney's Mighty Ducks,,"James Belushi, Brad Garrett, Jeff Bennett, Jennifer Hale, Clancy Brown, Tony Jay",United States,"November 12, 2019",1996,TV-Y7,1 Season,Comedy,Hockey-loving alien ducks are stranded on Earth and must protect it from the evil Dragaunus.
2223,s850,TV Show,Disney's Recess,,"Rickey Collins, Jason Davis, Ashley Johnson, Ross Malinger, Courtland Mead, Pamela Segall",United States,"November 12, 2019",1997,TV-Y7,3 Seasons,Animation,A portrayal of life at Third Street Elementary School.
2224,s850,TV Show,Disney's Recess,,"Rickey Collins, Jason Davis, Ashley Johnson, Ross Malinger, Courtland Mead, Pamela Segall",United States,"November 12, 2019",1997,TV-Y7,3 Seasons,Comedy,A portrayal of life at Third Street Elementary School.
2225,s850,TV Show,Disney's Recess,,"Rickey Collins, Jason Davis, Ashley Johnson, Ross Malinger, Courtland Mead, Pamela Segall",United States,"November 12, 2019",1997,TV-Y7,3 Seasons,Kids,A portrayal of life at Third Street Elementary School.
2226,s851,TV Show,Disney's The Emperor's New School,,"Shane Baumel, Jessica DiCicco, Wendie Malick, Fred Tatasciore, Jeff Bennett, Jessie Flower",United States,"November 12, 2019",2005,TV-G,2 Seasons,Animation,"Disney's The Emperor's New School is a unique comedy about Kuzco, a self-centered and spoiled teen."
2227,s851,TV Show,Disney's The Emperor's New School,,"Shane Baumel, Jessica DiCicco, Wendie Malick, Fred Tatasciore, Jeff Bennett, Jessie Flower",United States,"November 12, 2019",2005,TV-G,2 Seasons,Comedy,"Disney's The Emperor's New School is a unique comedy about Kuzco, a self-centered and spoiled teen."
2228,s851,TV Show,Disney's The Emperor's New School,,"Shane Baumel, Jessica DiCicco, Wendie Malick, Fred Tatasciore, Jeff Bennett, Jessie Flower",United States,"November 12, 2019",2005,TV-G,2 Seasons,Coming of Age,"Disney's The Emperor's New School is a unique comedy about Kuzco, a self-centered and spoiled teen."
2229,s852,Movie,Disney's The Kid,Jon Turteltaub,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride, Jean Smart",United States,"November 12, 2019",2000,PG,105 min,Comedy,A man's life is upended when he meets an 8-year-old version of himself.
2230,s852,Movie,Disney's The Kid,Jon Turteltaub,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride, Jean Smart",United States,"November 12, 2019",2000,PG,105 min,Drama,A man's life is upended when he meets an 8-year-old version of himself.
2231,s852,Movie,Disney's The Kid,Jon Turteltaub,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride, Jean Smart",United States,"November 12, 2019",2000,PG,105 min,Family,A man's life is upended when he meets an 8-year-old version of himself.
2232,s853,TV Show,Disney's The Little Mermaid (Series),,"Jodi Benson, Samuel Wright, Ken Mars, Edan Gross",United States,"November 12, 2019",1992,TV-Y7,3 Seasons,Action-Adventure,"Follow Ariel's adventures as a mermaid living under the sea with her father, King Triton."
2233,s853,TV Show,Disney's The Little Mermaid (Series),,"Jodi Benson, Samuel Wright, Ken Mars, Edan Gross",United States,"November 12, 2019",1992,TV-Y7,3 Seasons,Animation,"Follow Ariel's adventures as a mermaid living under the sea with her father, King Triton."
2234,s853,TV Show,Disney's The Little Mermaid (Series),,"Jodi Benson, Samuel Wright, Ken Mars, Edan Gross",United States,"November 12, 2019",1992,TV-Y7,3 Seasons,Fantasy,"Follow Ariel's adventures as a mermaid living under the sea with her father, King Triton."
2235,s854,Movie,Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),Hamilton Luske,Walt Disney,United States,"November 12, 2019",1966,TV-PG,51 min,Documentary,Walt Disney talks about Disneyland in 1966. See details for advisory.
2236,s854,Movie,Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),Hamilton Luske,Walt Disney,United States,"November 12, 2019",1966,TV-PG,51 min,Family,Walt Disney talks about Disneyland in 1966. See details for advisory.
2237,s854,Movie,Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),Hamilton Luske,Walt Disney,United States,"November 12, 2019",1966,TV-PG,51 min,Variety,Walt Disney talks about Disneyland in 1966. See details for advisory.
2238,s855,Movie,Disneynature African Cats,Keith Scholey,Samuel Jackson,United States,"November 12, 2019",2011,G,90 min,Animals & Nature,Come face-to-face with the wildly majestic African lions of the savanna.
2239,s855,Movie,Disneynature African Cats,Keith Scholey,Samuel Jackson,United States,"November 12, 2019",2011,G,90 min,Documentary,Come face-to-face with the wildly majestic African lions of the savanna.
2240,s855,Movie,Disneynature African Cats,Keith Scholey,Samuel Jackson,United States,"November 12, 2019",2011,G,90 min,Family,Come face-to-face with the wildly majestic African lions of the savanna.
